                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.129  1.19E+00 4.74E+00 3.33E+01 3.03E-01 1.25E+00 7.30E-01 4.94E-01 1.24E+00 5.02E-03 2.42E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.182  3.70E+00 1.00E+01 7.01E+01 5.62E-01 2.49E+00 1.33E+00 1.98E+00 1.98E+00 7.36E-01 2.45E-01 2.44E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.223  9.81E+00 2.45E+01 1.58E+02 3.28E+00 5.17E+00 3.75E+00 3.91E+00 4.19E+00 2.22E+00 7.34E-01 4.86E-01 2.42E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.258  1.81E+01 3.30E+01 2.38E+02 4.22E+00 4.47E+00 4.75E+00 5.12E+00 6.60E+00 4.17E+00 1.95E+00 7.36E-01 2.45E-01 2.42E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.288  2.95E+01 4.57E+01 3.46E+02 5.97E+00 5.26E+00 6.99E+00 6.84E+00 6.23E+00 7.32E+00 3.41E+00 2.19E+00 7.34E-01 2.44E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.316  4.48E+01 6.13E+01 5.05E+02 6.45E+00 6.97E+00 8.72E+00 7.54E+00 1.02E+01 7.58E+00 6.58E+00 4.12E+00 1.95E+00 4.91E-01 2.44E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.341  6.25E+01 7.08E+01 6.33E+02 6.23E+00 6.02E+00 9.29E+00 9.83E+00 1.06E+01 9.52E+00 7.80E+00 5.59E+00 3.40E+00 1.46E+00 4.89E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.365  9.48E+01 1.29E+02 1.08E+03 9.61E+00 1.53E+01 2.40E+01 1.99E+01 1.71E+01 1.27E+01 1.07E+01 9.28E+00 5.82E+00 2.91E+00 1.22E+00 2.45E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.387  1.46E+02 2.04E+02 1.73E+03 1.10E+01 3.00E+01 3.34E+01 3.00E+01 3.24E+01 2.00E+01 1.89E+01 1.20E+01 7.51E+00 5.81E+00 2.43E+00 7.34E-01 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.408  2.17E+02 2.86E+02 2.48E+03 1.99E+01 3.55E+01 4.06E+01 4.13E+01 4.47E+01 3.54E+01 2.62E+01 1.77E+01 9.24E+00 6.55E+00 5.57E+00 1.95E+00 4.89E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.428  3.18E+02 4.01E+02 3.64E+03 2.46E+01 4.62E+01 5.13E+01 5.84E+01 5.98E+01 5.15E+01 4.36E+01 2.92E+01 1.66E+01 9.22E+00 5.82E+00 3.40E+00 1.22E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.447  4.55E+02 5.48E+02 5.12E+03 3.01E+01 6.02E+01 6.72E+01 8.04E+01 7.94E+01 7.18E+01 5.86E+01 4.39E+01 2.59E+01 1.33E+01 8.01E+00 5.82E+00 2.43E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.465  6.57E+02 8.10E+02 7.53E+03 5.18E+01 7.73E+01 1.11E+02 1.22E+02 1.11E+02 1.03E+02 8.16E+01 5.98E+01 4.32E+01 2.10E+01 1.11E+01 7.51E+00 5.57E+00 1.46E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.483  9.51E+02 1.17E+03 1.10E+04 7.43E+01 1.09E+02 1.54E+02 1.80E+02 1.66E+02 1.47E+02 1.17E+02 8.52E+01 6.46E+01 3.92E+01 1.73E+01 9.23E+00 5.82E+00 2.91E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.499  1.38E+03 1.71E+03 1.62E+04 1.01E+02 1.61E+02 2.26E+02 2.52E+02 2.55E+02 2.13E+02 1.59E+02 1.29E+02 8.88E+01 5.92E+01 3.33E+01 1.50E+01 8.01E+00 5.81E+00 1.46E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.516  1.96E+03 2.32E+03 2.27E+04 1.20E+02 2.04E+02 2.87E+02 3.40E+02 3.46E+02 3.01E+02 2.38E+02 1.83E+02 1.27E+02 8.16E+01 5.00E+01 2.38E+01 1.11E+01 6.07E+00 2.91E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
