                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.454  2.54E+03 3.33E+03 3.45E+04 1.59E+02 1.72E+02 4.46E+02 4.14E+02 5.07E+02 4.27E+02 3.96E+02 2.85E+02 2.34E+02 1.28E+02 9.20E+01 3.40E+01 2.28E+01 8.01E+00 3.20E+00 9.98E-01 4.65E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.472  3.79E+03 4.97E+03 5.19E+04 2.29E+02 2.49E+02 6.61E+02 6.16E+02 7.64E+02 6.52E+02 5.77E+02 4.22E+02 3.45E+02 1.91E+02 1.50E+02 5.64E+01 3.45E+01 1.36E+01 6.36E+00 1.33E+00 6.01E-01 7.02E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.488  5.56E+03 7.08E+03 7.54E+04 3.14E+02 3.33E+02 8.88E+02 8.48E+02 1.08E+03 9.30E+02 8.81E+02 6.18E+02 5.00E+02 2.84E+02 2.23E+02 9.19E+01 5.33E+01 2.12E+01 1.11E+01 2.41E+00 1.08E+00 2.97E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.504  8.05E+03 9.99E+03 1.08E+05 4.26E+02 4.60E+02 1.21E+03 1.18E+03 1.49E+03 1.28E+03 1.28E+03 9.11E+02 7.38E+02 4.21E+02 3.27E+02 1.43E+02 8.87E+01 3.21E+01 1.78E+01 5.70E+00 1.86E+00 5.20E-01 6.89E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.520  1.15E+04 1.40E+04 1.54E+05 5.62E+02 6.36E+02 1.67E+03 1.59E+03 2.04E+03 1.78E+03 1.75E+03 1.30E+03 1.10E+03 6.17E+02 4.81E+02 2.15E+02 1.50E+02 5.29E+01 2.72E+01 1.09E+01 3.40E+00 8.08E-01 2.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.535  1.64E+04 1.95E+04 2.18E+05 7.59E+02 8.71E+02 2.30E+03 2.16E+03 2.81E+03 2.48E+03 2.44E+03 1.82E+03 1.59E+03 9.20E+02 7.07E+02 3.19E+02 2.27E+02 9.02E+01 4.22E+01 1.68E+01 6.81E+00 1.34E+00 5.78E-01 6.76E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.549  2.34E+04 2.78E+04 3.13E+05 1.08E+03 1.22E+03 3.25E+03 3.07E+03 3.97E+03 3.53E+03 3.40E+03 2.57E+03 2.24E+03 1.34E+03 1.08E+03 4.85E+02 3.37E+02 1.41E+02 6.84E+01 2.60E+01 1.17E+01 2.44E+00 1.01E+00 2.86E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.564  3.32E+04 3.92E+04 4.44E+05 1.51E+03 1.68E+03 4.51E+03 4.29E+03 5.53E+03 4.94E+03 4.75E+03 3.61E+03 3.16E+03 1.92E+03 1.61E+03 7.33E+02 5.01E+02 2.18E+02 1.10E+02 4.11E+01 1.93E+01 4.45E+00 1.57E+00 5.02E-01 3.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.591  6.99E+04 7.34E+04 8.54E+05 2.72E+03 3.00E+03 8.05E+03 7.76E+03 9.98E+03 8.96E+03 9.14E+03 6.97E+03 6.16E+03 3.84E+03 3.19E+03 1.59E+03 1.11E+03 4.87E+02 2.66E+02 1.12E+02 4.53E+01 1.41E+01 5.10E+00 9.71E-01 2.79E-01 3.27E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.617  1.37E+05 1.34E+05 1.60E+06 4.73E+03 5.21E+03 1.40E+04 1.36E+04 1.78E+04 1.60E+04 1.66E+04 1.28E+04 1.18E+04 7.57E+03 6.28E+03 3.21E+03 2.34E+03 1.10E+03 6.01E+02 2.58E+02 1.21E+02 3.53E+01 1.50E+01 2.44E+00 8.24E-01 2.43E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.643  2.58E+05 2.43E+05 2.96E+06 8.17E+03 9.01E+03 2.44E+04 2.36E+04 3.18E+04 2.88E+04 2.97E+04 2.34E+04 2.16E+04 1.41E+04 1.23E+04 6.48E+03 4.76E+03 2.37E+03 1.38E+03 5.97E+02 2.83E+02 9.40E+01 3.44E+01 1.11E+01 2.30E+00 4.78E-01 6.33E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.667  4.71E+05 4.25E+05 5.30E+06 1.36E+04 1.50E+04 4.10E+04 3.97E+04 5.37E+04 4.89E+04 5.15E+04 4.14E+04 3.86E+04 2.58E+04 2.28E+04 1.26E+04 9.55E+03 4.87E+03 2.88E+03 1.40E+03 6.49E+02 2.27E+02 9.04E+01 2.63E+01 8.36E+00 1.08E+00 5.33E-01 3.12E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.690  8.33E+05 7.25E+05 9.24E+06 2.25E+04 2.45E+04 6.73E+04 6.56E+04 8.86E+04 8.12E+04 8.68E+04 7.05E+04 6.71E+04 4.64E+04 4.12E+04 2.33E+04 1.80E+04 9.69E+03 5.89E+03 2.90E+03 1.51E+03 5.30E+02 2.29E+02 6.68E+01 2.21E+01 5.72E+00 1.39E+00 2.63E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
