                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  80.00  2.307  1.06E+24 1.04E+23 2.12E+24 1.39E+21 2.73E+21 3.96E+21 5.03E+21 5.92E+21 6.59E+21 7.04E+21 7.27E+21 7.29E+21 7.12E+21 6.80E+21 6.35E+21 5.81E+21 5.21E+21 4.59E+21 3.97E+21 3.37E+21 2.82E+21 2.31E+21 1.87E+21 1.49E+21 1.17E+21 8.99E+20 6.82E+20 5.10E+20 3.76E+20 2.73E+20 1.95E+20 1.37E+20 9.52E+19
  90.00  2.447  4.26E+25 4.16E+24 8.74E+25 5.28E+22 1.04E+23 1.50E+23 1.92E+23 2.26E+23 2.53E+23 2.72E+23 2.82E+23 2.85E+23 2.80E+23 2.70E+23 2.54E+23 2.35E+23 2.13E+23 1.89E+23 1.66E+23 1.43E+23 1.21E+23 1.01E+23 8.26E+22 6.67E+22 5.31E+22 4.17E+22 3.22E+22 2.45E+22 1.84E+22 1.36E+22 9.95E+21 7.16E+21 5.08E+21
 100.00  2.579  1.43E+27 1.38E+26 2.98E+27 1.67E+24 3.27E+24 4.76E+24 6.09E+24 7.20E+24 8.09E+24 8.72E+24 9.10E+24 9.23E+24 9.14E+24 8.86E+24 8.40E+24 7.82E+24 7.15E+24 6.43E+24 5.68E+24 4.94E+24 4.23E+24 3.57E+24 2.97E+24 2.43E+24 1.96E+24 1.56E+24 1.23E+24 9.48E+23 7.24E+23 5.45E+23 4.05E+23 2.97E+23 2.15E+23
 110.00  2.705  4.05E+28 3.91E+27 8.61E+28 4.50E+25 8.84E+25 1.29E+26 1.65E+26 1.96E+26 2.20E+26 2.39E+26 2.50E+26 2.55E+26 2.54E+26 2.47E+26 2.36E+26 2.21E+26 2.04E+26 1.85E+26 1.65E+26 1.45E+26 1.25E+26 1.07E+26 8.95E+25 7.42E+25 6.06E+25 4.88E+25 3.88E+25 3.05E+25 2.36E+25 1.80E+25 1.36E+25 1.01E+25 7.45E+24
 120.00  2.825  1.00E+30 9.61E+28 2.16E+30 1.06E+27 2.08E+27 3.04E+27 3.90E+27 4.64E+27 5.24E+27 5.68E+27 5.98E+27 6.12E+27 6.12E+27 5.99E+27 5.76E+27 5.43E+27 5.04E+27 4.59E+27 4.13E+27 3.65E+27 3.19E+27 2.74E+27 2.32E+27 1.94E+27 1.60E+27 1.31E+27 1.05E+27 8.35E+26 6.55E+26 5.07E+26 3.88E+26 2.93E+26 2.18E+26
 130.00  2.941  2.19E+31 2.09E+30 4.76E+31 2.21E+28 4.35E+28 6.35E+28 8.16E+28 9.73E+28 1.10E+29 1.20E+29 1.26E+29 1.30E+29 1.30E+29 1.28E+29 1.24E+29 1.17E+29 1.10E+29 1.01E+29 9.10E+28 8.11E+28 7.13E+28 6.18E+28 5.28E+28 4.46E+28 3.72E+28 3.06E+28 2.48E+28 1.99E+28 1.58E+28 1.24E+28 9.57E+27 7.32E+27 5.53E+27
 140.00  3.052  4.27E+32 4.05E+31 9.40E+32 4.14E+29 8.15E+29 1.19E+30 1.53E+30 1.83E+30 2.08E+30 2.27E+30 2.40E+30 2.47E+30 2.49E+30 2.46E+30 2.38E+30 2.27E+30 2.13E+30 1.97E+30 1.79E+30 1.61E+30 1.42E+30 1.24E+30 1.07E+30 9.09E+29 7.64E+29 6.34E+29 5.19E+29 4.21E+29 3.37E+29 2.66E+29 2.08E+29 1.61E+29 1.23E+29
 150.00  3.159  7.56E+33 7.13E+32 1.68E+34 7.04E+30 1.39E+31 2.03E+31 2.61E+31 3.12E+31 3.55E+31 3.88E+31 4.12E+31 4.26E+31 4.31E+31 4.27E+31 4.16E+31 3.98E+31 3.75E+31 3.48E+31 3.18E+31 2.87E+31 2.55E+31 2.24E+31 1.95E+31 1.67E+31 1.41E+31 1.18E+31 9.75E+30 7.97E+30 6.43E+30 5.14E+30 4.05E+30 3.17E+30 2.44E+30
 160.00  3.262  1.22E+35 1.15E+34 2.73E+35 1.10E+32 2.16E+32 3.16E+32 4.08E+32 4.88E+32 5.56E+32 6.09E+32 6.48E+32 6.72E+32 6.81E+32 6.77E+32 6.62E+32 6.36E+32 6.01E+32 5.61E+32 5.15E+32 4.67E+32 4.18E+32 3.69E+32 3.22E+32 2.78E+32 2.37E+32 2.00E+32 1.66E+32 1.37E+32 1.11E+32 8.96E+31 7.14E+31 5.62E+31 4.38E+31
 170.00  3.363  1.82E+36 1.70E+35 4.09E+36 1.58E+33 3.11E+33 4.55E+33 5.88E+33 7.04E+33 8.03E+33 8.82E+33 9.40E+33 9.77E+33 9.93E+33 9.91E+33 9.71E+33 9.36E+33 8.89E+33 8.32E+33 7.68E+33 7.00E+33 6.29E+33 5.59E+33 4.91E+33 4.26E+33 3.65E+33 3.09E+33 2.59E+33 2.15E+33 1.76E+33 1.43E+33 1.15E+33 9.11E+32 7.15E+32
 180.00  3.460  2.52E+37 2.33E+36 5.68E+37 2.10E+34 4.15E+34 6.09E+34 7.87E+34 9.44E+34 1.08E+35 1.19E+35 1.27E+35 1.32E+35 1.34E+35 1.34E+35 1.32E+35 1.28E+35 1.22E+35 1.14E+35 1.06E+35 9.70E+34 8.77E+34 7.83E+34 6.90E+34 6.02E+34 5.19E+34 4.43E+34 3.73E+34 3.11E+34 2.57E+34 2.10E+34 1.70E+34 1.36E+34 1.07E+34
 190.00  3.555  3.24E+38 2.99E+37 7.36E+38 2.63E+35 5.19E+35 7.61E+35 9.84E+35 1.18E+36 1.35E+36 1.49E+36 1.59E+36 1.66E+36 1.70E+36 1.70E+36 1.68E+36 1.63E+36 1.56E+36 1.47E+36 1.37E+36 1.25E+36 1.14E+36 1.02E+36 9.04E+35 7.92E+35 6.87E+35 5.89E+35 4.99E+35 4.19E+35 3.48E+35 2.86E+35 2.33E+35 1.87E+35 1.49E+35
 200.00  3.647  3.92E+39 3.60E+38 8.93E+39 3.08E+36 6.09E+36 8.94E+36 1.16E+37 1.39E+37 1.59E+37 1.76E+37 1.88E+37 1.97E+37 2.01E+37 2.02E+37 2.00E+37 1.95E+37 1.87E+37 1.77E+37 1.65E+37 1.52E+37 1.38E+37 1.25E+37 1.11E+37 9.76E+36 8.50E+36 7.32E+36 6.24E+36 5.27E+36 4.40E+36 3.64E+36 2.98E+36 2.41E+36 1.94E+36

