                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 2  *
   2.25  0.390  6.52E+02 9.53E+02 8.73E+03 3.54E+01 9.84E+01 1.41E+02 1.58E+02 1.51E+02 1.27E+02 9.54E+01 6.52E+01 4.06E+01 2.31E+01 1.21E+01 5.81E+00 2.57E+00 1.05E+00 3.95E-01 1.37E-01 4.41E-02 1.31E-02 3.60E-03 9.15E-04 2.15E-04 4.68E-05 9.44E-06 1.76E-06 3.04E-07 4.87E-08 7.23E-09 9.94E-10 1.27E-10 1.49E-11
   2.50  0.411  1.01E+03 1.43E+03 1.35E+04 5.06E+01 1.41E+02 2.04E+02 2.31E+02 2.23E+02 1.91E+02 1.47E+02 1.03E+02 6.62E+01 3.90E+01 2.11E+01 1.06E+01 4.89E+00 2.09E+00 8.29E-01 3.04E-01 1.04E-01 3.27E-02 9.60E-03 2.62E-03 6.62E-04 1.55E-04 3.40E-05 6.89E-06 1.30E-06 2.28E-07 3.72E-08 5.64E-09 7.95E-10 1.04E-10
   2.75  0.432  1.54E+03 2.13E+03 2.05E+04 7.16E+01 2.01E+02 2.92E+02 3.34E+02 3.27E+02 2.84E+02 2.24E+02 1.60E+02 1.06E+02 6.40E+01 3.59E+01 1.86E+01 8.96E+00 4.00E+00 1.66E+00 6.41E-01 2.30E-01 7.69E-02 2.39E-02 6.94E-03 1.88E-03 4.73E-04 1.11E-04 2.43E-05 4.96E-06 9.46E-07 1.68E-07 2.79E-08 4.31E-09 6.23E-10
   3.00  0.451  2.32E+03 3.12E+03 3.07E+04 1.00E+02 2.82E+02 4.13E+02 4.76E+02 4.72E+02 4.17E+02 3.34E+02 2.45E+02 1.65E+02 1.03E+02 5.94E+01 3.19E+01 1.59E+01 7.38E+00 3.20E+00 1.29E+00 4.86E-01 1.71E-01 5.62E-02 1.73E-02 4.96E-03 1.33E-03 3.34E-04 7.83E-05 1.72E-05 3.53E-06 6.79E-07 1.22E-07 2.06E-08 3.24E-09
   3.25  0.469  3.46E+03 4.53E+03 4.56E+04 1.40E+02 3.94E+02 5.80E+02 6.74E+02 6.75E+02 6.05E+02 4.92E+02 3.68E+02 2.54E+02 1.62E+02 9.62E+01 5.32E+01 2.74E+01 1.32E+01 5.94E+00 2.50E+00 9.84E-01 3.63E-01 1.25E-01 4.05E-02 1.23E-02 3.50E-03 9.32E-04 2.33E-04 5.47E-05 1.20E-05 2.49E-06 4.82E-07 8.76E-08 1.50E-08
   3.50  0.487  5.08E+03 6.52E+03 6.69E+04 1.93E+02 5.45E+02 8.06E+02 9.44E+02 9.56E+02 8.67E+02 7.17E+02 5.45E+02 3.83E+02 2.50E+02 1.52E+02 8.67E+01 4.61E+01 2.29E+01 1.07E+01 4.67E+00 1.92E+00 7.37E-01 2.67E-01 9.05E-02 2.89E-02 8.66E-03 2.44E-03 6.47E-04 1.61E-04 3.78E-05 8.34E-06 1.73E-06 3.38E-07 6.21E-08
   3.75  0.504  7.40E+03 9.28E+03 9.72E+04 2.64E+02 7.48E+02 1.11E+03 1.31E+03 1.34E+03 1.23E+03 1.03E+03 7.96E+02 5.71E+02 3.81E+02 2.37E+02 1.38E+02 7.57E+01 3.88E+01 1.87E+01 8.46E+00 3.60E+00 1.44E+00 5.44E-01 1.93E-01 6.46E-02 2.03E-02 6.04E-03 1.69E-03 4.45E-04 1.11E-04 2.59E-05 5.73E-06 1.19E-06 2.35E-07
   4.00  0.520  1.07E+04 1.31E+04 1.40E+05 3.59E+02 1.02E+03 1.52E+03 1.81E+03 1.86E+03 1.73E+03 1.47E+03 1.15E+03 8.39E+02 5.71E+02 3.64E+02 2.17E+02 1.22E+02 6.42E+01 3.19E+01 1.49E+01 6.57E+00 2.73E+00 1.07E+00 3.96E-01 1.38E-01 4.55E-02 1.42E-02 4.16E-03 1.16E-03 3.03E-04 7.52E-05 1.76E-05 3.90E-06 8.16E-07
   4.25  0.536  1.53E+04 1.84E+04 2.00E+05 4.85E+02 1.38E+03 2.07E+03 2.47E+03 2.57E+03 2.40E+03 2.07E+03 1.64E+03 1.22E+03 8.44E+02 5.48E+02 3.35E+02 1.92E+02 1.04E+02 5.32E+01 2.56E+01 1.17E+01 5.01E+00 2.04E+00 7.82E-01 2.84E-01 9.77E-02 3.18E-02 9.78E-03 2.85E-03 7.86E-04 2.05E-04 5.07E-05 1.19E-05 2.63E-06
   4.50  0.552  2.17E+04 2.56E+04 2.83E+05 6.51E+02 1.86E+03 2.79E+03 3.35E+03 3.51E+03 3.32E+03 2.89E+03 2.33E+03 1.75E+03 1.23E+03 8.16E+02 5.08E+02 2.99E+02 1.66E+02 8.68E+01 4.30E+01 2.02E+01 8.95E+00 3.76E+00 1.50E+00 5.64E-01 2.02E-01 6.83E-02 2.19E-02 6.69E-03 1.93E-03 5.30E-04 1.38E-04 3.40E-05 7.95E-06
   4.75  0.567  3.05E+04 3.53E+04 3.98E+05 8.70E+02 2.48E+03 3.75E+03 4.52E+03 4.77E+03 4.55E+03 4.00E+03 3.26E+03 2.49E+03 1.78E+03 1.20E+03 7.61E+02 4.57E+02 2.59E+02 1.39E+02 7.07E+01 3.41E+01 1.56E+01 6.75E+00 2.78E+00 1.08E+00 4.02E-01 1.42E-01 4.73E-02 1.50E-02 4.53E-03 1.30E-03 3.54E-04 9.17E-05 2.26E-05
   5.00  0.582  4.26E+04 4.85E+04 5.56E+05 1.15E+03 3.30E+03 5.00E+03 6.07E+03 6.44E+03 6.19E+03 5.49E+03 4.53E+03 3.50E+03 2.54E+03 1.74E+03 1.13E+03 6.88E+02 3.99E+02 2.19E+02 1.14E+02 5.64E+01 2.65E+01 1.18E+01 5.02E+00 2.02E+00 7.76E-01 2.83E-01 9.83E-02 3.25E-02 1.02E-02 3.05E-03 8.68E-04 2.35E-04 6.07E-05
   5.50  0.610  8.75E+04 8.97E+04 1.06E+06 2.01E+03 5.75E+03 8.77E+03 1.07E+04 1.15E+04 1.12E+04 1.01E+04 8.55E+03 6.76E+03 5.04E+03 3.55E+03 2.37E+03 1.50E+03 9.05E+02 5.18E+02 2.82E+02 1.46E+02 7.23E+01 3.40E+01 1.53E+01 6.53E+00 2.66E+00 1.04E+00 3.85E-01 1.36E-01 4.61E-02 1.49E-02 4.59E-03 1.35E-03 3.80E-04
   6.00  0.637  1.69E+05 1.62E+05 1.98E+06 3.42E+03 9.84E+03 1.51E+04 1.86E+04 2.02E+04 1.99E+04 1.83E+04 1.57E+04 1.27E+04 9.66E+03 6.99E+03 4.81E+03 3.14E+03 1.96E+03 1.16E+03 6.58E+02 3.56E+02 1.84E+02 9.05E+01 4.27E+01 1.92E+01 8.29E+00 3.41E+00 1.35E+00 5.08E-01 1.83E-01 6.33E-02 2.09E-02 6.63E-03 2.01E-03
   6.50  0.663  3.13E+05 2.88E+05 3.61E+06 5.74E+03 1.65E+04 2.54E+04 3.16E+04 3.46E+04 3.46E+04 3.22E+04 2.80E+04 2.31E+04 1.80E+04 1.33E+04 9.39E+03 6.31E+03 4.05E+03 2.48E+03 1.46E+03 8.17E+02 4.39E+02 2.26E+02 1.11E+02 5.25E+01 2.37E+01 1.03E+01 4.28E+00 1.71E+00 6.53E-01 2.40E-01 8.44E-02 2.85E-02 9.24E-03
   7.00  0.688  5.65E+05 5.04E+05 6.45E+06 9.62E+03 2.78E+04 4.29E+04 5.35E+04 5.90E+04 5.95E+04 5.59E+04 4.93E+04 4.11E+04 3.25E+04 2.45E+04 1.76E+04 1.21E+04 7.92E+03 4.97E+03 2.99E+03 1.72E+03 9.52E+02 5.05E+02 2.57E+02 1.25E+02 5.88E+01 2.64E+01 1.14E+01 4.75E+00 1.89E+00 7.26E-01 2.68E-01 9.47E-02 3.22E-02
   7.50  0.713  1.00E+06 8.73E+05 1.13E+07 1.62E+04 4.68E+04 7.23E+04 9.06E+04 1.00E+05 1.02E+05 9.62E+04 8.55E+04 7.19E+04 5.75E+04 4.38E+04 3.18E+04 2.21E+04 1.47E+04 9.39E+03 5.74E+03 3.37E+03 1.90E+03 1.03E+03 5.33E+02 2.66E+02 1.28E+02 5.88E+01 2.61E+01 1.11E+01 4.56E+00 1.80E+00 6.83E-01 2.50E-01 8.77E-02
   8.00  0.736  1.74E+06 1.49E+06 1.96E+07 2.68E+04 7.76E+04 1.20E+05 1.51E+05 1.68E+05 1.71E+05 1.63E+05 1.46E+05 1.24E+05 9.98E+04 7.68E+04 5.64E+04 3.97E+04 2.68E+04 1.73E+04 1.07E+04 6.41E+03 3.67E+03 2.02E+03 1.07E+03 5.45E+02 2.67E+02 1.26E+02 5.72E+01 2.50E+01 1.05E+01 4.26E+00 1.66E+00 6.24E-01 2.26E-01
   8.50  0.759  2.99E+06 2.50E+06 3.33E+07 4.39E+04 1.27E+05 1.97E+05 2.49E+05 2.78E+05 2.84E+05 2.72E+05 2.45E+05 2.09E+05 1.70E+05 1.32E+05 9.82E+04 6.99E+04 4.77E+04 3.12E+04 1.97E+04 1.19E+04 6.93E+03 3.88E+03 2.09E+03 1.08E+03 5.42E+02 2.61E+02 1.21E+02 5.40E+01 2.33E+01 9.65E+00 3.86E+00 1.49E+00 5.53E-01
   9.00  0.781  5.06E+06 4.14E+06 5.59E+07 7.10E+04 2.06E+05 3.20E+05 4.04E+05 4.53E+05 4.66E+05 4.48E+05 4.06E+05 3.49E+05 2.86E+05 2.24E+05 1.68E+05 1.21E+05 8.34E+04 5.53E+04 3.53E+04 2.16E+04 1.28E+04 7.26E+03 3.98E+03 2.10E+03 1.07E+03 5.24E+02 2.48E+02 1.13E+02 4.97E+01 2.11E+01 8.63E+00 3.41E+00 1.30E+00
   9.50  0.802  8.45E+06 6.78E+06 9.26E+07 1.14E+05 3.29E+05 5.13E+05 6.49E+05 7.30E+05 7.54E+05 7.28E+05 6.64E+05 5.75E+05 4.74E+05 3.74E+05 2.83E+05 2.06E+05 1.43E+05 9.61E+04 6.20E+04 3.85E+04 2.31E+04 1.33E+04 7.40E+03 3.97E+03 2.05E+03 1.02E+03 4.93E+02 2.29E+02 1.03E+02 4.45E+01 1.86E+01 7.52E+00 2.93E+00
  10.00  0.823  1.39E+07 1.10E+07 1.51E+08 1.80E+05 5.22E+05 8.14E+05 1.03E+06 1.16E+06 1.21E+06 1.17E+06 1.07E+06 9.34E+05 7.76E+05 6.17E+05 4.71E+05 3.45E+05 2.43E+05 1.64E+05 1.07E+05 6.74E+04 4.09E+04 2.39E+04 1.35E+04 7.33E+03 3.85E+03 1.95E+03 9.57E+02 4.53E+02 2.07E+02 9.13E+01 3.90E+01 1.61E+01 6.40E+00
  11.00  0.863  4.17E+07 2.78E+07 3.92E+08 4.37E+05 1.27E+06 1.99E+06 2.53E+06 2.87E+06 2.99E+06 2.93E+06 2.71E+06 2.38E+06 2.01E+06 1.62E+06 1.25E+06 9.30E+05 6.66E+05 4.60E+05 3.06E+05 1.97E+05 1.22E+05 7.30E+04 4.22E+04 2.36E+04 1.27E+04 6.66E+03 3.36E+03 1.64E+03 7.77E+02 3.55E+02 1.57E+02 6.72E+01 2.78E+01
  12.00  0.901  1.10E+08 6.78E+07 9.75E+08 1.03E+06 2.99E+06 4.69E+06 5.99E+06 6.82E+06 7.16E+06 7.05E+06 6.58E+06 5.84E+06 4.97E+06 4.05E+06 3.18E+06 2.40E+06 1.74E+06 1.22E+06 8.28E+05 5.42E+05 3.43E+05 2.10E+05 1.24E+05 7.10E+04 3.93E+04 2.11E+04 1.09E+04 5.49E+03 2.67E+03 1.26E+03 5.75E+02 2.54E+02 1.09E+02
  13.00  0.938  2.70E+08 1.60E+08 2.34E+09 2.34E+06 6.82E+06 1.07E+07 1.37E+07 1.57E+07 1.66E+07 1.64E+07 1.54E+07 1.38E+07 1.19E+07 9.77E+06 7.75E+06 5.92E+06 4.37E+06 3.11E+06 2.14E+06 1.42E+06 9.17E+05 5.71E+05 3.45E+05 2.01E+05 1.14E+05 6.25E+04 3.32E+04 1.71E+04 8.56E+03 4.14E+03 1.95E+03 8.87E+02 3.92E+02
  14.00  0.974  6.36E+08 3.66E+08 5.44E+09 5.18E+06 1.51E+07 2.38E+07 3.06E+07 3.51E+07 3.72E+07 3.71E+07 3.51E+07 3.17E+07 2.74E+07 2.28E+07 1.83E+07 1.41E+07 1.05E+07 7.60E+06 5.30E+06 3.58E+06 2.34E+06 1.49E+06 9.13E+05 5.43E+05 3.14E+05 1.76E+05 9.54E+04 5.03E+04 2.57E+04 1.28E+04 6.15E+03 2.88E+03 1.31E+03
  15.00  1.008  1.45E+09 8.15E+08 1.23E+10 1.12E+07 3.27E+07 5.15E+07 6.64E+07 7.65E+07 8.14E+07 8.16E+07 7.76E+07 7.05E+07 6.15E+07 5.16E+07 4.17E+07 3.26E+07 2.46E+07 1.79E+07 1.27E+07 8.69E+06 5.77E+06 3.71E+06 2.32E+06 1.40E+06 8.25E+05 4.71E+05 2.61E+05 1.40E+05 7.32E+04 3.72E+04 1.83E+04 8.77E+03 4.08E+03
  16.00  1.041  3.22E+09 1.77E+09 2.71E+10 2.36E+07 6.90E+07 1.09E+08 1.41E+08 1.63E+08 1.74E+08 1.75E+08 1.67E+08 1.53E+08 1.34E+08 1.14E+08 9.27E+07 7.30E+07 5.57E+07 4.11E+07 2.94E+07 2.04E+07 1.37E+07 8.94E+06 5.66E+06 3.48E+06 2.08E+06 1.21E+06 6.81E+05 3.73E+05 1.99E+05 1.03E+05 5.18E+04 2.54E+04 1.21E+04
  17.00  1.073  6.98E+09 3.76E+09 5.83E+10 4.89E+07 1.43E+08 2.26E+08 2.92E+08 3.39E+08 3.63E+08 3.67E+08 3.53E+08 3.25E+08 2.87E+08 2.44E+08 2.01E+08 1.60E+08 1.23E+08 9.15E+07 6.61E+07 4.64E+07 3.16E+07 2.09E+07 1.34E+07 8.36E+06 5.07E+06 2.99E+06 1.71E+06 9.54E+05 5.17E+05 2.73E+05 1.40E+05 6.99E+04 3.39E+04
  18.00  1.104  1.48E+10 7.81E+09 1.23E+11 9.91E+07 2.90E+08 4.59E+08 5.95E+08 6.91E+08 7.44E+08 7.55E+08 7.29E+08 6.74E+08 5.99E+08 5.13E+08 4.25E+08 3.41E+08 2.64E+08 1.99E+08 1.45E+08 1.03E+08 7.07E+07 4.73E+07 3.08E+07 1.94E+07 1.20E+07 7.15E+06 4.16E+06 2.35E+06 1.30E+06 6.96E+05 3.63E+05 1.85E+05 9.14E+04
  19.00  1.134  3.07E+10 1.59E+10 2.54E+11 1.97E+08 5.78E+08 9.16E+08 1.19E+09 1.39E+09 1.50E+09 1.52E+09 1.48E+09 1.37E+09 1.23E+09 1.06E+09 8.81E+08 7.11E+08 5.56E+08 4.22E+08 3.11E+08 2.22E+08 1.55E+08 1.05E+08 6.87E+07 4.40E+07 2.74E+07 1.66E+07 9.78E+06 5.62E+06 3.14E+06 1.71E+06 9.09E+05 4.70E+05 2.37E+05
  20.00  1.164  6.27E+10 3.20E+10 5.14E+11 3.87E+08 1.13E+09 1.80E+09 2.34E+09 2.73E+09 2.96E+09 3.02E+09 2.94E+09 2.74E+09 2.47E+09 2.14E+09 1.79E+09 1.46E+09 1.15E+09 8.77E+08 6.51E+08 4.70E+08 3.30E+08 2.25E+08 1.50E+08 9.69E+07 6.11E+07 3.75E+07 2.24E+07 1.30E+07 7.39E+06 4.09E+06 2.20E+06 1.16E+06 5.92E+05
  22.50  1.234  4.88E+11 1.70E+11 2.81E+12 1.95E+09 5.72E+09 9.11E+09 1.19E+10 1.40E+10 1.52E+10 1.56E+10 1.54E+10 1.45E+10 1.32E+10 1.15E+10 9.82E+09 8.09E+09 6.48E+09 5.04E+09 3.81E+09 2.81E+09 2.01E+09 1.41E+09 9.57E+08 6.35E+08 4.10E+08 2.59E+08 1.59E+08 9.55E+07 5.59E+07 3.19E+07 1.78E+07 9.67E+06 5.13E+06
  25.00  1.301  2.56E+12 8.30E+11 1.40E+13 9.09E+09 2.67E+10 4.26E+10 5.58E+10 6.57E+10 7.19E+10 7.45E+10 7.37E+10 7.01E+10 6.43E+10 5.70E+10 4.90E+10 4.10E+10 3.32E+10 2.63E+10 2.02E+10 1.51E+10 1.10E+10 7.86E+09 5.46E+09 3.70E+09 2.44E+09 1.58E+09 9.94E+08 6.12E+08 3.68E+08 2.16E+08 1.24E+08 6.93E+07 3.79E+07
  30.00  1.425  8.30E+13 1.61E+13 2.83E+14 1.62E+11 4.77E+11 7.64E+11 1.01E+12 1.19E+12 1.32E+12 1.38E+12 1.38E+12 1.33E+12 1.24E+12 1.12E+12 9.82E+11 8.37E+11 6.95E+11 5.62E+11 4.44E+11 3.42E+11 2.57E+11 1.89E+11 1.35E+11 9.50E+10 6.51E+10 4.37E+10 2.86E+10 1.84E+10 1.15E+10 7.08E+09 4.26E+09 2.50E+09 1.44E+09
  40.00  1.646  3.28E+16 3.27E+15 6.15E+16 2.90E+13 8.54E+13 1.37E+14 1.82E+14 2.18E+14 2.44E+14 2.59E+14 2.64E+14 2.60E+14 2.48E+14 2.29E+14 2.07E+14 1.81E+14 1.56E+14 1.30E+14 1.07E+14 8.56E+13 6.71E+13 5.16E+13 3.88E+13 2.86E+13 2.07E+13 1.46E+13 1.02E+13 6.92E+12 4.62E+12 3.03E+12 1.95E+12 1.23E+12 7.59E+11
  50.00  1.840  3.78E+18 3.75E+17 7.41E+18 2.99E+15 8.84E+15 1.43E+16 1.90E+16 2.30E+16 2.59E+16 2.78E+16 2.87E+16 2.86E+16 2.77E+16 2.61E+16 2.39E+16 2.15E+16 1.88E+16 1.62E+16 1.36E+16 1.12E+16 9.06E+15 7.18E+15 5.58E+15 4.26E+15 3.19E+15 2.35E+15 1.70E+15 1.21E+15 8.41E+14 5.77E+14 3.88E+14 2.57E+14 1.67E+14
  60.00  2.016  2.89E+20 2.85E+19 5.88E+20 2.09E+17 6.19E+17 1.00E+18 1.34E+18 1.63E+18 1.85E+18 2.00E+18 2.08E+18 2.10E+18 2.05E+18 1.96E+18 1.82E+18 1.66E+18 1.48E+18 1.30E+18 1.11E+18 9.36E+17 7.73E+17 6.27E+17 5.00E+17 3.92E+17 3.02E+17 2.29E+17 1.70E+17 1.25E+17 9.00E+16 6.38E+16 4.45E+16 3.06E+16 2.07E+16
  70.00  2.177  1.62E+22 1.59E+21 3.38E+22 1.08E+19 3.20E+19 5.20E+19 6.98E+19 8.50E+19 9.70E+19 1.06E+20 1.11E+20 1.13E+20 1.11E+20 1.07E+20 1.01E+20 9.32E+19 8.43E+19 7.48E+19 6.51E+19 5.57E+19 4.68E+19 3.87E+19 3.15E+19 2.52E+19 1.98E+19 1.54E+19 1.17E+19 8.80E+18 6.51E+18 4.74E+18 3.40E+18 2.41E+18 1.68E+18
  80.00  2.327  7.03E+23 6.87E+22 1.51E+24 4.40E+20 1.30E+21 2.11E+21 2.85E+21 3.48E+21 3.99E+21 4.37E+21 4.60E+21 4.71E+21 4.69E+21 4.56E+21 4.34E+21 4.04E+21 3.70E+21 3.32E+21 2.93E+21 2.54E+21 2.16E+21 1.82E+21 1.50E+21 1.22E+21 9.77E+20 7.71E+20 6.00E+20 4.60E+20 3.47E+20 2.59E+20 1.90E+20 1.37E+20 9.80E+19
  90.00  2.469  2.48E+25 2.41E+24 5.43E+25 1.46E+22 4.33E+22 7.04E+22 9.50E+22 1.16E+23 1.34E+23 1.47E+23 1.56E+23 1.60E+23 1.61E+23 1.57E+23 1.51E+23 1.42E+23 1.31E+23 1.19E+23 1.06E+23 9.27E+22 8.00E+22 6.80E+22 5.69E+22 4.70E+22 3.82E+22 3.06E+22 2.42E+22 1.89E+22 1.45E+22 1.10E+22 8.22E+21 6.07E+21 4.42E+21
 100.00  2.602  7.35E+26 7.11E+25 1.63E+27 4.09E+23 1.21E+24 1.97E+24 2.67E+24 3.28E+24 3.78E+24 4.17E+24 4.44E+24 4.59E+24 4.62E+24 4.55E+24 4.39E+24 4.16E+24 3.87E+24 3.54E+24 3.18E+24 2.81E+24 2.45E+24 2.11E+24 1.79E+24 1.49E+24 1.23E+24 9.97E+23 7.99E+23 6.32E+23 4.93E+23 3.80E+23 2.89E+23 2.17E+23 1.61E+23
 110.00  2.729  1.87E+28 1.80E+27 4.21E+28 9.88E+24 2.93E+25 4.78E+25 6.47E+25 7.96E+25 9.21E+25 1.02E+26 1.09E+26 1.13E+26 1.14E+26 1.13E+26 1.10E+26 1.05E+26 9.80E+25 9.02E+25 8.17E+25 7.30E+25 6.42E+25 5.57E+25 4.76E+25 4.02E+25 3.34E+25 2.75E+25 2.23E+25 1.78E+25 1.41E+25 1.10E+25 8.48E+24 6.46E+24 4.86E+24
 120.00  2.850  4.17E+29 3.98E+28 9.49E+29 2.10E+26 6.22E+26 1.02E+27 1.38E+27 1.70E+27 1.97E+27 2.18E+27 2.34E+27 2.44E+27 2.48E+27 2.46E+27 2.40E+27 2.30E+27 2.17E+27 2.01E+27 1.83E+27 1.65E+27 1.46E+27 1.28E+27 1.10E+27 9.38E+26 7.88E+26 6.54E+26 5.36E+26 4.34E+26 3.47E+26 2.74E+26 2.14E+26 1.65E+26 1.26E+26
 130.00  2.967  8.25E+30 7.83E+29 1.90E+31 3.97E+27 1.18E+28 1.93E+28 2.62E+28 3.23E+28 3.75E+28 4.17E+28 4.48E+28 4.68E+28 4.78E+28 4.77E+28 4.67E+28 4.50E+28 4.26E+28 3.97E+28 3.64E+28 3.30E+28 2.94E+28 2.59E+28 2.25E+28 1.93E+28 1.64E+28 1.37E+28 1.13E+28 9.26E+27 7.48E+27 5.97E+27 4.71E+27 3.67E+27 2.83E+27
 140.00  3.079  1.47E+32 1.39E+31 3.41E+32 6.79E+28 2.02E+29 3.30E+29 4.48E+29 5.54E+29 6.45E+29 7.19E+29 7.74E+29 8.11E+29 8.30E+29 8.32E+29 8.18E+29 7.91E+29 7.52E+29 7.04E+29 6.50E+29 5.92E+29 5.31E+29 4.71E+29 4.12E+29 3.56E+29 3.04E+29 2.57E+29 2.14E+29 1.76E+29 1.44E+29 1.16E+29 9.22E+28 7.27E+28 5.66E+28
 150.00  3.187  2.39E+33 2.24E+32 5.56E+33 1.06E+30 3.15E+30 5.14E+30 7.00E+30 8.67E+30 1.01E+31 1.13E+31 1.22E+31 1.28E+31 1.31E+31 1.32E+31 1.30E+31 1.26E+31 1.21E+31 1.14E+31 1.05E+31 9.64E+30 8.70E+30 7.76E+30 6.83E+30 5.94E+30 5.11E+30 4.34E+30 3.65E+30 3.03E+30 2.49E+30 2.02E+30 1.63E+30 1.29E+30 1.02E+30
 160.00  3.291  3.55E+34 3.31E+33 8.32E+34 1.52E+31 4.51E+31 7.38E+31 1.01E+32 1.25E+32 1.46E+32 1.63E+32 1.76E+32 1.85E+32 1.91E+32 1.92E+32 1.91E+32 1.86E+32 1.78E+32 1.68E+32 1.57E+32 1.44E+32 1.31E+32 1.17E+32 1.04E+32 9.07E+31 7.84E+31 6.71E+31 5.67E+31 4.75E+31 3.93E+31 3.21E+31 2.60E+31 2.09E+31 1.66E+31
 170.00  3.393  4.89E+35 4.53E+34 1.15E+36 2.02E+32 6.00E+32 9.82E+32 1.34E+33 1.66E+33 1.94E+33 2.17E+33 2.36E+33 2.49E+33 2.57E+33 2.60E+33 2.58E+33 2.52E+33 2.42E+33 2.30E+33 2.15E+33 1.98E+33 1.81E+33 1.63E+33 1.45E+33 1.27E+33 1.11E+33 9.54E+32 8.12E+32 6.83E+32 5.69E+32 4.69E+32 3.83E+32 3.09E+32 2.47E+32
