                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.130  4.59E+00 1.84E+01 1.32E+02 1.10E+00 2.92E+00 3.82E+00 3.71E+00 2.94E+00 1.96E+00 1.12E+00 5.50E-01 2.36E-01 8.86E-02 2.91E-02 8.38E-03 2.12E-03 4.73E-04 9.29E-05 1.61E-05 2.45E-06 3.30E-07 3.93E-08 4.13E-09 3.83E-10 3.14E-11 2.27E-12 1.45E-13 8.23E-15 4.12E-16 1.82E-17 7.14E-19 2.47E-20 7.57E-22
   0.50  0.184  1.30E+01 3.36E+01 2.47E+02 1.93E+00 5.16E+00 6.81E+00 6.71E+00 5.41E+00 3.69E+00 2.17E+00 1.10E+00 4.92E-01 1.93E-01 6.63E-02 2.01E-02 5.39E-03 1.28E-03 2.68E-04 4.98E-05 8.19E-06 1.20E-06 1.55E-07 1.78E-08 1.81E-09 1.64E-10 1.32E-11 9.40E-13 5.96E-14 3.36E-15 1.68E-16 7.47E-18 2.95E-19 1.04E-20
   0.75  0.225  2.75E+01 5.81E+01 4.43E+02 3.10E+00 8.34E+00 1.12E+01 1.13E+01 9.46E+00 6.74E+00 4.16E+00 2.26E+00 1.08E+00 4.55E-01 1.71E-01 5.70E-02 1.69E-02 4.49E-03 1.06E-03 2.24E-04 4.24E-05 7.16E-06 1.08E-06 1.47E-07 1.77E-08 1.92E-09 1.87E-10 1.63E-11 1.27E-12 8.85E-14 5.54E-15 3.11E-16 1.56E-17 7.05E-19
   1.00  0.260  5.19E+01 9.77E+01 7.72E+02 4.85E+00 1.32E+01 1.79E+01 1.86E+01 1.60E+01 1.18E+01 7.62E+00 4.35E+00 2.20E+00 9.96E-01 4.02E-01 1.46E-01 4.73E-02 1.38E-02 3.63E-03 8.58E-04 1.83E-04 3.50E-05 6.05E-06 9.42E-07 1.32E-07 1.68E-08 1.92E-09 1.98E-10 1.85E-11 1.55E-12 1.18E-13 8.09E-15 5.01E-16 2.80E-17
   1.25  0.291  9.20E+01 1.60E+02 1.31E+03 7.45E+00 2.03E+01 2.81E+01 2.96E+01 2.61E+01 2.00E+01 1.34E+01 8.00E+00 4.27E+00 2.05E+00 8.82E-01 3.43E-01 1.20E-01 3.83E-02 1.10E-02 2.86E-03 6.76E-04 1.45E-04 2.81E-05 4.95E-06 7.92E-07 1.15E-07 1.52E-08 1.82E-09 1.98E-10 1.96E-11 1.76E-12 1.44E-13 1.07E-14 7.19E-16
   1.50  0.319  1.56E+02 2.57E+02 2.16E+03 1.12E+01 3.09E+01 4.31E+01 4.63E+01 4.18E+01 3.28E+01 2.28E+01 1.42E+01 7.91E+00 3.99E+00 1.82E+00 7.53E-01 2.83E-01 9.69E-02 3.02E-02 8.55E-03 2.21E-03 5.21E-04 1.12E-04 2.20E-05 3.95E-06 6.46E-07 9.65E-08 1.32E-08 1.64E-09 1.88E-10 1.95E-11 1.86E-12 1.62E-13 1.29E-14
   1.75  0.344  2.57E+02 4.04E+02 3.51E+03 1.67E+01 4.60E+01 6.50E+01 7.08E+01 6.52E+01 5.25E+01 3.76E+01 2.42E+01 1.41E+01 7.43E+00 3.57E+00 1.56E+00 6.23E-01 2.28E-01 7.60E-02 2.33E-02 6.52E-03 1.67E-03 3.94E-04 8.52E-05 1.69E-05 3.07E-06 5.14E-07 7.88E-08 1.11E-08 1.43E-09 1.70E-10 1.86E-11 1.87E-12 1.72E-13
   2.00  0.368  4.14E+02 6.26E+02 5.58E+03 2.44E+01 6.78E+01 9.64E+01 1.07E+02 9.99E+01 8.23E+01 6.06E+01 4.02E+01 2.43E+01 1.33E+01 6.69E+00 3.08E+00 1.30E+00 5.02E-01 1.79E-01 5.85E-02 1.76E-02 4.88E-03 1.25E-03 2.94E-04 6.37E-05 1.27E-05 2.35E-06 3.99E-07 6.26E-08 9.07E-09 1.21E-09 1.49E-10 1.70E-11 1.78E-12
