                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.139  1.67E+00 6.68E+00 4.25E+01 7.34E-01 1.23E+00 1.38E+00 1.23E+00 9.08E-01 5.74E-01 3.14E-01 1.50E-01 6.28E-02 2.31E-02 7.49E-03 2.14E-03 5.42E-04 1.21E-04 2.40E-05 4.22E-06 6.58E-07 9.09E-08 1.11E-08 1.21E-09 1.17E-10 1.01E-11 7.66E-13 5.19E-14 3.12E-15 1.67E-16 7.94E-18 3.36E-19 1.26E-20 4.21E-22
   0.50  0.196  4.72E+00 1.22E+01 7.77E+01 1.34E+00 2.25E+00 2.53E+00 2.24E+00 1.66E+00 1.05E+00 5.75E-01 2.75E-01 1.15E-01 4.22E-02 1.37E-02 3.92E-03 9.91E-04 2.22E-04 4.40E-05 7.72E-06 1.20E-06 1.66E-07 2.04E-08 2.22E-09 2.14E-10 1.84E-11 1.40E-12 9.49E-14 5.71E-15 3.05E-16 1.45E-17 6.13E-19 2.30E-20 7.70E-22
   0.75  0.240  1.01E+01 2.15E+01 1.37E+02 2.34E+00 3.93E+00 4.42E+00 3.94E+00 2.92E+00 1.86E+00 1.02E+00 4.92E-01 2.07E-01 7.69E-02 2.51E-02 7.27E-03 1.86E-03 4.21E-04 8.44E-05 1.50E-05 2.37E-06 3.33E-07 4.14E-08 4.59E-09 4.51E-10 3.94E-11 3.06E-12 2.12E-13 1.30E-14 7.11E-16 3.46E-17 1.50E-18 5.76E-20 1.97E-21
   1.00  0.277  1.89E+01 3.54E+01 2.35E+02 3.62E+00 6.15E+00 7.05E+00 6.45E+00 4.96E+00 3.29E+00 1.91E+00 9.70E-01 4.37E-01 1.74E-01 6.18E-02 1.95E-02 5.50E-03 1.38E-03 3.10E-04 6.22E-05 1.12E-05 1.79E-06 2.58E-07 3.31E-08 3.82E-09 3.94E-10 3.65E-11 3.02E-12 2.24E-13 1.49E-14 8.92E-16 4.77E-17 2.29E-18 9.85E-20
   1.25  0.310  3.32E+01 5.70E+01 3.93E+02 5.48E+00 9.41E+00 1.10E+01 1.03E+01 8.15E+00 5.61E+00 3.39E+00 1.82E+00 8.66E-01 3.69E-01 1.40E-01 4.79E-02 1.47E-02 4.04E-03 1.00E-03 2.23E-04 4.48E-05 8.09E-06 1.32E-06 1.93E-07 2.56E-08 3.05E-09 3.29E-10 3.19E-11 2.80E-12 2.21E-13 1.58E-14 1.02E-15 5.93E-17 3.11E-18
   1.50  0.340  5.57E+01 8.98E+01 6.41E+02 8.14E+00 1.41E+01 1.67E+01 1.60E+01 1.30E+01 9.26E+00 5.82E+00 3.26E+00 1.64E+00 7.37E-01 2.99E-01 1.09E-01 3.60E-02 1.08E-02 2.90E-03 7.09E-04 1.57E-04 3.15E-05 5.73E-06 9.44E-07 1.41E-07 1.92E-08 2.36E-09 2.64E-10 2.67E-11 2.46E-12 2.06E-13 1.56E-14 1.08E-15 6.75E-17
   1.75  0.367  9.04E+01 1.39E+02 1.02E+03 1.19E+01 2.08E+01 2.50E+01 2.43E+01 2.03E+01 1.49E+01 9.68E+00 5.64E+00 2.96E+00 1.40E+00 6.01E-01 2.33E-01 8.23E-02 2.64E-02 7.69E-03 2.04E-03 4.93E-04 1.08E-04 2.18E-05 3.98E-06 6.63E-07 1.01E-07 1.40E-08 1.77E-09 2.04E-10 2.16E-11 2.07E-12 1.82E-13 1.46E-14 1.07E-15
   2.00  0.392  1.43E+02 2.11E+02 1.61E+03 1.72E+01 3.03E+01 3.67E+01 3.64E+01 3.10E+01 2.33E+01 1.57E+01 9.45E+00 5.16E+00 2.56E+00 1.15E+00 4.73E-01 1.77E-01 6.04E-02 1.89E-02 5.39E-03 1.41E-03 3.37E-04 7.37E-05 1.48E-05 2.71E-06 4.57E-07 7.05E-08 9.98E-09 1.29E-09 1.54E-10 1.68E-11 1.68E-12 1.54E-13 1.30E-14
   2.25  0.416  2.22E+02 3.16E+02 2.48E+03 2.45E+01 4.35E+01 5.33E+01 5.35E+01 4.65E+01 3.58E+01 2.47E+01 1.54E+01 8.73E+00 4.50E+00 2.12E+00 9.14E-01 3.61E-01 1.31E-01 4.34E-02 1.32E-02 3.71E-03 9.55E-04 2.26E-04 4.93E-05 9.89E-06 1.82E-06 3.10E-07 4.85E-08 6.98E-09 9.25E-10 1.13E-10 1.27E-11 1.32E-12 1.26E-13
   2.50  0.438  3.39E+02 4.67E+02 3.76E+03 3.46E+01 6.16E+01 7.63E+01 7.77E+01 6.87E+01 5.40E+01 3.82E+01 2.45E+01 1.44E+01 7.68E+00 3.77E+00 1.70E+00 7.03E-01 2.68E-01 9.42E-02 3.05E-02 9.11E-03 2.51E-03 6.38E-04 1.50E-04 3.25E-05 6.53E-06 1.21E-06 2.07E-07 3.28E-08 4.79E-09 6.48E-10 8.11E-11 9.38E-12 1.00E-12
   2.75  0.460  5.09E+02 6.82E+02 5.63E+03 4.82E+01 8.64E+01 1.08E+02 1.11E+02 1.00E+02 8.01E+01 5.80E+01 3.82E+01 2.30E+01 1.27E+01 6.49E+00 3.04E+00 1.32E+00 5.26E-01 1.95E-01 6.65E-02 2.10E-02 6.17E-03 1.67E-03 4.21E-04 9.82E-05 2.12E-05 4.25E-06 7.91E-07 1.36E-07 2.18E-08 3.24E-09 4.46E-10 5.70E-11 6.77E-12
   3.00  0.480  7.55E+02 9.84E+02 8.33E+03 6.67E+01 1.20E+02 1.51E+02 1.58E+02 1.44E+02 1.17E+02 8.66E+01 5.84E+01 3.62E+01 2.06E+01 1.09E+01 5.29E+00 2.38E+00 9.94E-01 3.85E-01 1.38E-01 4.61E-02 1.43E-02 4.12E-03 1.10E-03 2.74E-04 6.35E-05 1.37E-05 2.74E-06 5.12E-07 8.88E-08 1.44E-08 2.16E-09 3.02E-10 3.94E-11
   3.25  0.500  1.11E+03 1.41E+03 1.22E+04 9.14E+01 1.65E+02 2.10E+02 2.21E+02 2.04E+02 1.69E+02 1.27E+02 8.79E+01 5.58E+01 3.27E+01 1.78E+01 8.94E+00 4.18E+00 1.81E+00 7.32E-01 2.75E-01 9.64E-02 3.15E-02 9.56E-03 2.71E-03 7.17E-04 1.77E-04 4.07E-05 8.74E-06 1.75E-06 3.27E-07 5.72E-08 9.32E-09 1.42E-09 2.02E-10
   3.50  0.519  1.60E+03 1.99E+03 1.76E+04 1.24E+02 2.26E+02 2.88E+02 3.06E+02 2.86E+02 2.41E+02 1.85E+02 1.30E+02 8.45E+01 5.08E+01 2.84E+01 1.47E+01 7.12E+00 3.21E+00 1.35E+00 5.28E-01 1.93E-01 6.61E-02 2.11E-02 6.32E-03 1.76E-03 4.61E-04 1.13E-04 2.58E-05 5.52E-06 1.11E-06 2.08E-07 3.64E-08 5.99E-09 9.23E-10
   3.75  0.537  2.30E+03 2.79E+03 2.53E+04 1.68E+02 3.06E+02 3.93E+02 4.21E+02 3.98E+02 3.40E+02 2.65E+02 1.90E+02 1.26E+02 7.77E+01 4.45E+01 2.38E+01 1.19E+01 5.52E+00 2.40E+00 9.79E-01 3.74E-01 1.33E-01 4.47E-02 1.40E-02 4.12E-03 1.14E-03 2.94E-04 7.12E-05 1.62E-05 3.46E-06 6.93E-07 1.30E-07 2.30E-08 3.81E-09
   4.00  0.555  3.27E+03 3.88E+03 3.59E+04 2.25E+02 4.12E+02 5.32E+02 5.75E+02 5.49E+02 4.74E+02 3.75E+02 2.74E+02 1.85E+02 1.17E+02 6.85E+01 3.76E+01 1.93E+01 9.27E+00 4.17E+00 1.76E+00 6.98E-01 2.60E-01 9.07E-02 2.98E-02 9.17E-03 2.66E-03 7.24E-04 1.85E-04 4.46E-05 1.01E-05 2.15E-06 4.31E-07 8.12E-08 1.44E-08
