##
## Parameters for 188Os
##
## Level density
##
ctableadjust     75 186   0.00000   0
ptableadjust     75 186   0.00000   0
D0               75 186 3.10000E-03
g                75 186  12.40000
gp               75 186   5.00000
gn               75 186   7.40000
gnadjust         75 186   1.00000
gpadjust         75 186   1.00000
gadjust          75 186   1.00000
##
## Gamma-ray
##
gamgam           75 186   0.05700
gamgamadjust     75 186   1.00000
sgr              75 186 504.446 E1
egr              75 186  14.088 E1
ggr              75 186   4.067 E1
sgradjust        75 186   1.000 E1
egradjust        75 186   1.000 E1
ggradjust        75 186   1.000 E1
upbendc          75 186 3.50000E-08 M1
sgr              75 186   2.336 M1
egr              75 186   7.534 M1
ggr              75 186   4.000 M1
sgradjust        75 186   1.000 M1
egradjust        75 186   1.000 M1
ggradjust        75 186   1.000 M1
sgr              75 186   0.393 E2
egr              75 186  11.037 E2
ggr              75 186   3.878 E2
sgradjust        75 186   1.000 E2
egradjust        75 186   1.000 E2
ggradjust        75 186   1.000 E2
upbendc          75 186 0.00000E+00 M2
sgr              75 186   0.002 M2
egr              75 186   7.534 M2
ggr              75 186   4.000 M2
sgradjust        75 186   1.000 M2
egradjust        75 186   1.000 M2
ggradjust        75 186   1.000 M2
##--------------------------------------------
##
## Parameters for 185Re
##
## Level density
##
a                75 185  23.44049
aadjust          75 185   1.00000
gammald          75 185   0.07601
pair             75 185   0.88226
Pshift           75 185   0.00000   0
Pshiftadjust     75 185   0.00000   0
deltaW           75 185   1.10834   0
Ntop             75 185  18   0
Nlow             75 185   5   0
s2adjust         75 185   1.00000   0
ctable           75 185   0.00000   0
ptable           75 185   0.47974   0
ctableadjust     75 185   0.00000   0
ptableadjust     75 185   0.00000   0
g                75 185  12.33333
gp               75 185   5.00000
gn               75 185   7.33333
gnadjust         75 185   1.00000
gpadjust         75 185   1.00000
gadjust          75 185   1.00000
##
## Gamma-ray
##
gamgam           75 185   0.07000
gamgamadjust     75 185   1.00000
sgr              75 185 501.408 E1
egr              75 185  14.105 E1
ggr              75 185   4.077 E1
sgradjust        75 185   1.000 E1
egradjust        75 185   1.000 E1
ggradjust        75 185   1.000 E1
upbendc          75 185 3.50000E-08 M1
sgr              75 185   2.325 M1
egr              75 185   7.541 M1
ggr              75 185   4.000 M1
sgradjust        75 185   1.000 M1
egradjust        75 185   1.000 M1
ggradjust        75 185   1.000 M1
sgr              75 185   0.393 E2
egr              75 185  11.056 E2
ggr              75 185   3.890 E2
sgradjust        75 185   1.000 E2
egradjust        75 185   1.000 E2
ggradjust        75 185   1.000 E2
upbendc          75 185 0.00000E+00 M2
sgr              75 185   0.002 M2
egr              75 185   7.541 M2
ggr              75 185   4.000 M2
sgradjust        75 185   1.000 M2
egradjust        75 185   1.000 M2
ggradjust        75 185   1.000 M2
##--------------------------------------------
##
## Parameters for 185W 
##
## Level density
##
a                74 185  23.70643
aadjust          74 185   1.00000
gammald          74 185   0.07601
pair             74 185   0.88226
Pshift           74 185   0.00000   0
Pshiftadjust     74 185   0.00000   0
deltaW           74 185   1.22636   0
Ntop             74 185  29   0
Nlow             74 185   8   0
s2adjust         74 185   1.00000   0
ctable           74 185   0.29696   0
ptable           74 185   0.34643   0
ctableadjust     74 185   0.00000   0
ptableadjust     74 185   0.00000   0
D0               74 185 7.00000E-02
g                74 185  12.33333
gp               74 185   4.93333
gn               74 185   7.40000
gnadjust         74 185   1.00000
gpadjust         74 185   1.00000
gadjust          74 185   1.00000
##
## Gamma-ray
##
gamgam           74 185   0.06900
gamgamadjust     74 185   1.00000
sgr              74 185 499.220 E1
egr              74 185  14.105 E1
ggr              74 185   4.077 E1
sgradjust        74 185   1.000 E1
egradjust        74 185   1.000 E1
ggradjust        74 185   1.000 E1
upbendc          74 185 3.50000E-08 M1
sgr              74 185   2.325 M1
egr              74 185   7.541 M1
ggr              74 185   4.000 M1
sgradjust        74 185   1.000 M1
egradjust        74 185   1.000 M1
ggradjust        74 185   1.000 M1
sgr              74 185   0.382 E2
egr              74 185  11.056 E2
ggr              74 185   3.890 E2
sgradjust        74 185   1.000 E2
egradjust        74 185   1.000 E2
ggradjust        74 185   1.000 E2
upbendc          74 185 0.00000E+00 M2
sgr              74 185   0.002 M2
egr              74 185   7.541 M2
ggr              74 185   4.000 M2
sgradjust        74 185   1.000 M2
egradjust        74 185   1.000 M2
ggradjust        74 185   1.000 M2
##--------------------------------------------
##
## Parameters for 184W 
##
## Level density
##
a                74 184  23.56648
aadjust          74 184   1.00000
gammald          74 184   0.07614
pair             74 184   1.76930
Pshift           74 184   0.00000   0
Pshiftadjust     74 184   0.00000   0
deltaW           74 184   1.23667   0
Ntop             74 184  24   0
Nlow             74 184   8   0
s2adjust         74 184   1.00000   0
ctable           74 184   0.27629   0
ptable           74 184   0.78420   0
ctableadjust     74 184   0.00000   0
ptableadjust     74 184   0.00000   0
D0               74 184 1.20000E-02
g                74 184  12.26667
gp               74 184   4.93333
gn               74 184   7.33333
gnadjust         74 184   1.00000
gpadjust         74 184   1.00000
gadjust          74 184   1.00000
##
## Gamma-ray
##
gamgam           74 184   0.07700
gamgamadjust     74 184   1.00000
sgr              74 184 268.000 E1
egr              74 184  12.560 E1
ggr              74 184   2.660 E1
sgradjust        74 184   1.000 E1
egradjust        74 184   1.000 E1
ggradjust        74 184   1.000 E1
upbendc          74 184 3.50000E-08 M1
sgr              74 184 328.000 E1 2
egr              74 184  15.170 E1 2
ggr              74 184   4.690 E1 2
sgradjust        74 184   1.000 E1 2
egradjust        74 184   1.000 E1 2
ggradjust        74 184   1.000 E1 2
