#
# Resonance parameters for Z=  56 A= 136 (136Ba) Target spin= 0.0
# Thermal capture cross section= 6.80000E+02 mb   Sn= 6.90564E+00 MeV
#
#  Einc[MeV]= 1.00000E-03
# Rprime[fm]= 4.39731E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 1.12907E+03 1.12907E+03 1.60747E+00 1.60747E+00 0.00000E+00 1.81495E-01 1.12282E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 3.89888E+02 1.12907E+03 8.88836E-01 1.09925E+00 0.00000E+00 1.24113E-01 1.72610E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 3.89888E+02 5.95537E+02 8.88836E-01 8.18697E-01 0.00000E+00 4.87564E-02 1.40365E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  1.5 + 2.51055E+02 5.95537E+02 1.13830E+00 8.27029E-01 0.00000E+00 4.92526E-02 1.10217E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  2.5 + 2.51055E+02 4.34023E+02 1.13830E+00 1.32506E+00 0.00000E+00 5.75107E-02 1.06879E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 1.00000E-01
# Rprime[fm]= 4.20071E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 1.06051E+03 1.06051E+03 1.51966E+00 1.51966E+00 0.00000E+00 1.61161E-01 1.13550E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 3.66157E+02 1.06051E+03 8.52608E-01 1.04415E+00 0.00000E+00 1.10733E-01 1.72803E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 3.66157E+02 5.59244E+02 8.52608E-01 7.88761E-01 0.00000E+00 4.41110E-02 1.41096E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  1.5 + 2.35703E+02 5.59244E+02 1.18816E+00 8.57749E-01 0.00000E+00 4.79691E-02 1.11479E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  2.5 + 2.35703E+02 4.07415E+02 1.18816E+00 1.38641E+00 0.00000E+00 5.64846E-02 1.08118E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 2.00000E-01
# Rprime[fm]= 4.37994E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 9.36087E+02 9.36087E+02 1.40332E+00 1.40332E+00 0.00000E+00 1.31363E-01 1.16139E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 3.23101E+02 9.36087E+02 7.95582E-01 9.58763E-01 0.00000E+00 8.97485E-02 1.73303E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 3.23101E+02 4.93405E+02 7.95582E-01 7.41189E-01 0.00000E+00 3.65707E-02 1.42640E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  1.5 + 2.07862E+02 4.93405E+02 1.29827E+00 9.24990E-01 0.00000E+00 4.56395E-02 1.14064E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  2.5 + 2.07862E+02 3.59177E+02 1.29827E+00 1.52224E+00 0.00000E+00 5.46752E-02 1.10667E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 5.00000E-01
# Rprime[fm]= 5.05645E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 6.46200E+02 6.46200E+02 1.20147E+00 1.20147E+00 0.00000E+00 7.76391E-02 1.24306E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 2.22852E+02 6.46200E+02 6.91748E-01 8.07387E-01 0.00000E+00 5.21733E-02 1.75759E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 2.22852E+02 3.40163E+02 6.91748E-01 6.53202E-01 0.00000E+00 2.22195E-02 1.48018E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  1.5 + 1.43124E+02 3.40163E+02 1.67267E+00 1.15319E+00 0.00000E+00 3.92272E-02 1.22291E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  2.5 + 1.43124E+02 2.47085E+02 1.67267E+00 1.98435E+00 0.00000E+00 4.90303E-02 1.18797E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
#  Einc[MeV]= 1.00000E+00
# Rprime[fm]= 5.69182E+00
# l   J  P   D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV] Gp(l,J)[eV] Ga(l,J)[eV]
  0  0.5 + 3.52652E+02 3.52652E+02 1.01841E+00 1.01841E+00 6.20645E-01 3.59144E-02 1.39452E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  0.5 - 1.21459E+02 3.52652E+02 6.03162E-01 6.82462E-01 2.42078E+00 2.40671E-02 1.83130E-01 0.00000E+00 0.00000E+00 0.00000E+00
  1  1.5 - 1.21459E+02 1.85270E+02 6.03162E-01 5.76729E-01 3.01220E+00 1.06850E-02 1.59507E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  1.5 + 7.78030E+01 1.85270E+02 2.11990E+00 1.47886E+00 6.44086E+00 2.73987E-02 1.37686E-01 0.00000E+00 0.00000E+00 0.00000E+00
  2  2.5 + 7.78030E+01 1.34130E+02 2.11990E+00 2.50452E+00 5.16801E+00 3.35932E-02 1.34118E-01 0.00000E+00 0.00000E+00 0.00000E+00
#
